Unnamed: 0,ID,Name,Age,Email,Salary,Department,Join Date
0,1e407ff9-6255-489d-a0de-34135d4f74bd,Hunter Thomas,25,xlopez@hotmail.com,88552,Sales,unknown
2,18261368-dfa1-47f0-afc6-bddf45926b07,Jennifer Hammondquickly,66,unknown,65550,Engineering,2023-11-21
4,14ed3e6a-e0f5-4bbe-8d93-8665267f5c90,Julia Lee,71,figueroakayla@yahoo.com,143456,Marketing,unknown
6,c4892dbb-2554-4ce1-8f11-f6597d7f6782,Patricia Brown Dvm,66,unknown,77311,HR,2020-09-17
7,465e625b-f924-4061-8356-c7e3130f7118,Derek Murphy,38,unknown,89962,Support,2021-01-12
8,12cc2f16-d641-402e-b22b-3332bafc4f1d,Unknown,71,andrew74@hotmail.com,83354,Sales,2022-02-12
9,d06f507d-62e5-4bd6-a252-4e60e109d324,Jay Fisher,44,denisemaynard@jordan.com,37701,HR,2022-12-08
10,d5fe9321-49cf-4f14-ac96-7aea1204247b,Craig Conway,88,gerald47@woodard-smith.com,81214,Engineering,unknown
12,da63d159-e9b0-4b92-b0fe-4e87df3aebc1,Amber Marsh,23,robert43@gmail.com,112970,Engineering,2023-09-08
14,9b83a5e5-9516-493f-86f8-d6c445edb501,Nicole Cardenas,60,griffinlinda@harrison.com,51625,Marketing,2003-10-16
21,7aa89cdd-e328-4425-9556-b0b3da9e4f2a,Danny Martinred,64,amyclements@lee.biz,89962,HR,2022-08-30
22,88e92fab-a06c-4c53-a59a-699bf8a583b5,Curtis Parkerlot,36,daniellewilliams@gmail.com,89962,HR,2023-12-08
25,58d4c7cd-aa32-4429-a96e-e881c676852c,Sharon Mcclure,25,mcmahonchristina@hotmail.com,89208,Marketing,2024-06-09
26,ea358a83-5e3b-41dd-b00b-9cbb2bb85b45,Lori Hernandez,83,elizabeth22@yahoo.com,52075,Engineering,2021-05-29
27,2f99edc1-c0e7-4963-8b33-09465a2ac68f,Christina Norriscompare,84,haleygary@yahoo.com,92668,Engineering,2021-07-17
28,99cc4d76-0d87-45ee-9de7-384e54c5ffb9,Amber Garcia,59,unknown,89962,Engineering,2020-02-07
32,e5381075-e75b-4b1d-b571-e52dab20dfae,John Weeks,87,unknown,36554,Marketing,2022-06-13
33,99ad138f-12af-4f08-a892-cf94f84f6feb,Jamie Valdez,73,unknown,89962,Sales,2021-06-18
36,3fc48575-3616-4fa9-a554-610f92c8c681,Veronica Schmidt,40,steven75@yahoo.com,65482,Engineering,2020-03-13
37,de98cc3c-0802-4824-929f-73eee22aa40b,Richard Brooks,56,lukewalker@gmail.com,116303,Sales,1997-04-11
38,0bb8f303-5515-429e-a05a-7c9ee675a50b,Cesar Morrison,72,lisa58@gmail.com,162857,HR,2020-06-14
41,5cf2e1ee-cf23-4d2f-a136-2602279af7f0,Dawn Tucker,86,unknown,118182,Engineering,2019-12-15
42,3a6b1096-f7a7-4901-a31a-9db676895801,Kayla Carpenter,61,dcooper@adams.net,82857,Engineering,2021-06-08
44,507c693e-8fa6-4583-82f8-8eae20d66be7,Evan Martinezimportant,34,tanyaglass@yahoo.com,150059,Sales,2017-01-01
47,6acc5bba-ee93-45b8-aa59-a75e1038c784,Alice Lewis,20,juansalinas@hotmail.com,163203,HR,2020-11-16
51,f9d66dd9-4481-447b-9218-e280165ca091,John Bailey,69,robbinsfelicia@nelson.com,39784,Support,2020-09-30
52,b7e13183-a09a-40fa-a401-51f278428372,Joshua Harmonview,59,smithrichard@yahoo.com,89962,HR,2020-03-13
57,85fd1b76-fa4c-4b27-916b-69a68efd2f3c,Jason Stephens,54,parksandrea@brown.biz,40452,Marketing,2014-11-19
59,f006e033-2187-4e91-b7ba-34f5e43c4358,Jessica Evans,86,mark30@graham-carter.org,63661,HR,2020-04-15
61,adaf3575-fd70-4249-893f-13e935530282,Kimberly Page,71,kruegerchristopher@hotmail.com,123114,HR,unknown
63,6e50ff2b-ee84-4ba1-adc1-88aced745fff,Mrs Sheri Duffyparty,38,woodmadison@rice.com,93430,Marketing,2023-05-06
65,1c304683-0aac-4818-9b53-21a1b4c3d89c,Sydney Robinson,81,unknown,133050,Engineering,2022-03-21
66,cfd80c1c-5a2a-47d3-9c4f-a8dbe7e1b836,Carmen Green,87,unknown,120746,Support,unknown
67,e2cbf80a-9c8b-4e6e-ae47-7759704bb8db,John Hurst,62,unknown,89962,HR,2024-02-18
68,15e6fea9-c33c-4a4c-b9cb-0a9653e0f448,Dennis Martindoor,86,davidsonamber@yahoo.com,92158,Sales,2020-06-19
71,ca130e73-2fc6-4c24-aaaa-3b08038f2666,Allison Mcknighttrip,90,hsmith@munoz-snyder.com,105919,HR,2022-12-24
72,fe1793f4-1f96-46df-91eb-464afc0fe31d,Miguel Wilcox,54,caitlin05@hotmail.com,74013,Sales,1971-12-09
73,1de0420a-7817-4810-824b-86c8d58ef4e0,Richard Estrada,87,sharpanthony@lawson.com,140711,HR,2019-05-30
74,ee302c6d-5164-4b86-bad1-b9624b44c130,Mr Larry Mcpherson,23,austingillespie@gould-chapman.com,75391,HR,1972-05-17
75,0c59ca7f-9dc1-4f18-9245-e31c63c54dae,Tracy Lawson,82,unknown,59961,Sales,2002-04-23
77,994122b1-32e0-4220-83bc-d72267847a23,Richard Brown,45,erin29@garza.net,90216,Marketing,1979-04-04
78,13b7fc63-a1a8-4a16-88bf-b78428ef682c,Michael Sellers,77,unknown,121189,Marketing,2020-07-27
80,bc03dd30-8836-4161-a3a0-140ab79ead86,William Jonesin,54,perkinsscott@hotmail.com,42081,Sales,1991-08-16
82,17412c94-b433-473a-a63a-20e269e2f283,Angela Campbell,63,unknown,61898,Engineering,2020-01-27
83,6b64fb02-1d5d-4634-9d1d-d2c718031c33,Jeffrey Crosby,23,patricia22@mccann.org,90766,Support,unknown
87,3c2bf634-c5ba-49db-af16-632ec072cc63,Tom Wade,71,lawrence69@ford-melton.com,89962,Engineering,2020-09-15
88,ffc4a5a6-7ab4-46fb-a876-ea396ab9c241,Ryan Ward,81,unknown,108748,Support,1985-04-29
89,1759df8c-3f9b-4963-854f-c9023b076b3b,Karen Chase,44,daniel56@hotmail.com,122501,Support,2020-11-07
90,7edc8e0d-ef5f-4bed-88e3-f4c696dc318d,Mrs Betty Robinsonmission,50,ecollier@long.com,145538,Support,2024-01-14
91,00bbcbdf-b232-4eaf-bbd5-19abc9bac992,Jeffrey Jackson,40,glucas@hotmail.com,33381,HR,unknown
92,4b928463-0c4e-4923-8970-a9de2df2a8d4,Haley Montoyapolicy,74,mark45@gmail.com,89801,Marketing,2023-04-16
94,a0a23a98-3edc-4895-a751-699f15f1d590,Christopher Lin,33,unknown,111440,Support,2021-12-23
95,3ea567c5-3cc7-400b-8977-eb15216a8ffd,Keith Powell,64,qmarquez@smith.com,109674,Marketing,unknown
97,8bfbae3a-81de-4658-9fcf-1522a4ffb162,Steven Kirby,49,barkerdavid@watson.org,63896,HR,2020-01-19
98,59207561-409c-4c61-8ea7-bd8430d40ab3,Marie Orr,37,unknown,126823,Sales,2021-04-08
99,42ac8e8f-3ab9-4e48-b45a-e60b40962f4b,Nicholas May,58,morgan64@andersen-smith.com,110362,Marketing,2023-09-12
107,de8a7c3c-42a1-4c32-b5f4-af3ffedff607,Jeffrey Bowers,80,unknown,139007,Engineering,2021-12-05
108,edb34b86-369f-4cd2-b4c8-dc2c6eb0ffc5,Stacy Cruz,36,williampearson@snyder.com,118523,Marketing,2020-02-11
109,f0e3f1b7-e05a-405c-9b37-11b60fdf9911,Kevin Fowler,38,jroberts@davis.com,141610,HR,2022-07-09
110,a27873a7-6815-4b06-848f-acd2f2f7d765,Sydney Cox,29,joshua07@santiago-salazar.net,79981,HR,2020-08-08
112,6643a04b-800d-434d-a3e8-49e47cd85aeb,Laura Proctor,61,unknown,54915,Engineering,1988-12-29
115,8e1a2ece-f33d-4ca5-aa51-38493e11c166,George Grant,50,rodriguezsean@hotmail.com,118357,Support,2023-10-15
116,202f2ff5-f1ce-4fe9-baa0-cbbe47f93819,Tracy Sharp,45,unknown,90263,Support,2020-09-28
117,18991355-b214-44c8-9228-1fe4dac65ddb,Aaron Coffey,54,fbright@yahoo.com,113645,HR,2021-01-24
118,3bbf5cda-f42b-49ce-adb8-e8af796b5448,Sierra Walshyet,21,unknown,146903,HR,2021-06-11
119,b67ab588-f67e-4a4d-9bff-e7405e3e4066,Angela Millerperformance,32,osmith@kim.net,134430,Support,unknown
120,15ec5a25-eb6a-4a10-aee9-003524d8372d,Zachary Jones,60,idavis@gmail.com,98733,Support,2019-11-03
